time,distance,angle1,pos1x,pos1y,angle2,pos2x,pos2y
1023.267,356.1436168,134.0037728,121.6234622,-144.5482454,167.5904555,-160.991039,55.0722939
1023.314,332.5828251,-58.99143532,110.0869856,-137.6140836,14.00763047,-157.7655074,68.00185865
1023.361,349.5580274,99.68129641,123.2732072,-139.8636157,-156.550397,-163.1359693,55.62087219
1023.408,336.0859431,-92.55595844,109.8189781,-140.4642059,46.3636599,-153.4662568,64.84091689
1023.454,339.5910781,62.31423841,121.6305203,-134.2667514,-114.2274182,-165.6823073,59.34377802
1023.502,343.0377859,-130.2269646,111.3504127,-142.9624123,81.73479587,-152.3914271,61.27446512
1023.547,330.7380531,24.34830444,116.8485113,-130.8127945,-70.00325722,-164.8965331,65.82514642
1023.594,349.6745924,-171.0723745,114.7634547,-144.0858152,119.3221504,-153.1289901,59.21552601
1023.642,326.0286678,-13.77221495,111.5822253,-131.107002,-27.70651739,-159.2942643,70.95539809
1023.687,350.6573048,145.1675521,119.2242497,-142.0891578,160.6361778,-154.8159507,58.21286212
1023.734,326.0454093,-54.39330661,108.3341708,-134.2907026,13.59076849,-151.6999362,71.10200857
1023.781,342.9239955,97.97341262,121.5191287,-136.1374888,-150.3332271,-158.3468036,59.4330909
1023.828,332.0005841,-99.59900832,108.2926672,-138.3743419,56.6661888,-147.2181621,66.75264652
1023.876,330.2963459,49.06372268,118.3223461,-129.67524,-94.63015712,-160.4777117,65.67878396
1023.921,341.7489625,-149.5061568,111.5203902,-141.2255078,102.6208804,-147.3844263,62.74707749
1023.968,321.747957,1.094388542,111.7743375,-127.9319277,-40.12707664,-155.9028941,72.85338598
1024.013,346.2540425,156.7073628,117.0517639,-140.1903105,152.6188809,-149.7113749,60.89909451
1024.059,320.7724768,-48.22749234,107.1023629,-131.3031062,10.84640405,-147.2259874,73.87086549
1024.105,338.3980857,99.54348006,120.1864484,-133.5028396,-148.5516817,-154.2088018,62.4528426
1024.152,328.3501078,-102.274992,107.1203334,-136.3457399,62.09821052,-142.4694942,68.66895544
1024.198,323.8011688,41.72053016,115.9248401,-126.4709044,-82.70295827,-155.6002913,70.35036026
1024.245,339.6904836,-161.9221869,111.7811152,-139.165291,116.6065582,-143.6220788,64.35040329
1024.291,316.0931312,-14.34994489,108.4932906,-126.3134584,-20.48657309,-148.228245,76.6789614
1024.337,340.4915021,133.9295524,118.0522695,-135.5217703,178.0219248,-147.7655467,63.28203425
1024.384,319.4471253,-73.13361002,105.3058478,-131.6572771,37.57479956,-139.7196026,73.73941704
1024.431,326.0551999,67.59326299,117.5067389,-126.6267543,-109.4804003,-152.2210626,69.31723005
1024.478,332.2620254,-138.0193769,108.5879876,-136.5387703,97.25757431,-139.0051797,67.634182
1024.524,313.4116511,3.899570703,109.4863157,-123.3601629,-37.15407683,-146.9376672,78.10226008
1024.572,338.3588338,150.998278,115.9157184,-134.9582903,163.4870893,-143.1336312,65.27066831
1024.618,314.2818544,-60.59035783,104.352224,-128.440032,28.20523497,-136.921924,76.85291217
1024.665,324.854837,77.20359326,117.1931147,-125.5235001,-117.649602,-148.6575168,70.70475021
1024.712,327.8737726,-131.3692824,107.208718,-134.3164209,93.47662537,-135.403217,69.89950988
